region,year,category,subcategory,subcategory_contribution,subcategory_weight_total,subcategory_score
강원,2016,가족·생활,돌봄여건,8.787773217042218,0.1693386773547093,51.89466077282921
강원,2017,가족·생활,돌봄여건,9.214207400278854,0.1693386773547093,54.41289340519703
강원,2018,가족·생활,돌봄여건,9.403572174070574,0.1693386773547093,55.53115402202624
강원,2019,가족·생활,돌봄여건,9.700028093048743,0.1693386773547093,57.2818227033293
강원,2020,가족·생활,돌봄여건,10.197692123900442,0.1693386773547093,60.22069076717541
강원,2021,가족·생활,돌봄여건,10.461726105032971,0.1693386773547093,61.77989735398172
강원,2022,가족·생활,돌봄여건,10.590554239287332,0.1693386773547093,62.540669413069594
강원,2023,가족·생활,돌봄여건,10.5838781784709,0.1693386773547093,62.50124510126605
강원,2024,가족·생활,돌봄여건,11.218465248725728,0.1693386773547093,66.24868827354013
경기,2016,가족·생활,돌봄여건,4.407729607781567,0.1693386773547093,26.029077802165713
경기,2017,가족·생활,돌봄여건,4.802174255668721,0.1693386773547093,28.35840181749932
경기,2018,가족·생활,돌봄여건,4.809590292860042,0.1693386773547093,28.4021959306173
경기,2019,가족·생활,돌봄여건,4.982902689018506,0.1693386773547093,29.425662033375566
경기,2020,가족·생활,돌봄여건,6.056309647682691,0.1693386773547093,35.76447945791318
경기,2021,가족·생활,돌봄여건,6.074907240816977,0.1693386773547093,35.87430429784227
경기,2022,가족·생활,돌봄여건,6.094064108803055,0.1693386773547093,35.98743183778373
경기,2023,가족·생활,돌봄여건,6.497247992386791,0.1693386773547093,38.36836388403562
경기,2024,가족·생활,돌봄여건,6.411532531523236,0.1693386773547093,37.862186192072144
경남,2016,가족·생활,돌봄여건,6.165760978665124,0.1693386773547093,36.41082518762009
경남,2017,가족·생활,돌봄여건,6.563576983709282,0.1693386773547093,38.76005816415305
경남,2018,가족·생활,돌봄여건,7.069541551760334,0.1693386773547093,41.74794360151962
경남,2019,가족·생활,돌봄여건,7.346669416884413,0.1693386773547093,43.38447383461921
경남,2020,가족·생활,돌봄여건,8.179763768955098,0.1693386773547093,48.30416710897746
경남,2021,가족·생활,돌봄여건,8.706212100465496,0.1693386773547093,51.41301583588502
경남,2022,가족·생활,돌봄여건,8.862747461735836,0.1693386773547093,52.33740808764714
경남,2023,가족·생활,돌봄여건,9.130067211870262,0.1693386773547093,53.916018209742745
경남,2024,가족·생활,돌봄여건,8.907785112420408,0.1693386773547093,52.60337007216314
경북,2016,가족·생활,돌봄여건,7.223143834916409,0.1693386773547093,42.65501507246496
경북,2017,가족·생활,돌봄여건,7.721402000613844,0.1693386773547093,45.59739169593266
경북,2018,가족·생활,돌봄여건,7.995861035697789,0.1693386773547093,47.2181616190911
경북,2019,가족·생활,돌봄여건,8.328519360315616,0.1693386773547093,49.1826172875443
경북,2020,가족·생활,돌봄여건,9.41027814472166,0.1693386773547093,55.57075496113739
경북,2021,가족·생활,돌봄여건,9.612342874179674,0.1693386773547093,56.76401294929774
경북,2022,가족·생활,돌봄여건,9.942720360692718,0.1693386773547093,58.7149995264576
경북,2023,가족·생활,돌봄여건,10.116486800002631,0.1693386773547093,59.74114690179071
경북,2024,가족·생활,돌봄여건,10.223181366167502,0.1693386773547093,60.37121303807793
