시차,군집,모형,종속변수,설명변수,누락주의관측치_제외,계수,군집표준오차,t값,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,잔차자유도,추론자유도,지역고정효과,연도고정효과,지역군집표준오차,추정가능,추정불가사유,추론가능,분석구분,FDR_q값,FDR_0.05_유의
t+1,2,4-1. 일·가정 양립 여건,합계출산율,log1p_3개년평균예산,,-0.03769687212980889,,,,,,12,2,6,4.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+1,2,4-2. 사회적 가치관,합계출산율,log1p_3개년평균예산,,-0.04341738601098094,,,,,,12,2,6,4.0,,True,True,False,True,독립 지역 2개로 p값·신뢰구간 추론 제외,False,2개 시도 계수만 탐색,,False
t+1,3,1-1. 고용여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.009510703055015413,0.010201756064427466,0.9322613670580021,0.38223107886915464,-0.01461261674376353,0.033634022853794354,48,8,6,34.0,7.0,True,True,True,True,,,,0.7007569779267836,False
t+1,3,1-2. 주거안정성,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0012466977825545348,0.003971149676861756,0.3139387542651757,0.7627164972500949,-0.008143579050057621,0.01063697461516669,48,8,6,34.0,7.0,True,True,True,True,,,,0.8389881469751045,False
t+1,3,1-3. 경제적 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0051730434245303505,0.015352378301276613,-0.33695387926313614,0.7460287662989705,-0.041475649475355855,0.031129562626295154,48,8,6,34.0,7.0,True,True,True,True,,,,0.8389881469751045,False
t+1,3,2-1. 돌봄 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.035995095107335326,0.018832191363783814,1.9113598843604305,0.09756219946150936,-0.008535961302104066,0.08052615151677472,48,8,6,34.0,7.0,True,True,True,True,,,,0.5365920970383015,False
t+1,3,2-2. 여가 인프라,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.0065723240658568625,0.005656599264986322,1.1618861011666088,0.2833614558071215,-0.006803407737671711,0.019948055869385438,48,8,6,34.0,7.0,True,True,True,True,,,,0.7007569779267836,False
t+1,3,2-3. 가사수행 격차,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.013026830087788622,0.005292895081992012,2.461191821487211,0.043389456612467174,0.000511122015774133,0.025542538159803112,48,8,6,34.0,7.0,True,True,True,True,,,,0.4772840227371389,False
t+1,3,3-1. 의료서비스 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.00579496766832959,0.005636836944957022,1.028053095187371,0.33813206681014824,-0.007534033673989963,0.019123969010649142,48,8,6,34.0,7.0,True,True,True,True,,,,0.7007569779267836,False
t+1,3,3-2. 산후조리 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.008584071704405352,0.0075346275682778045,1.1392828147931167,0.2920661640833319,-0.009232491370263909,0.026400634779074613,48,8,6,34.0,7.0,True,True,True,True,,,,0.7007569779267836,False
