모형버전,모형,종속변수,설명변수,누락주의관측치_제외,계수,군집표준오차,t값,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,잔차자유도,추론자유도,지역고정효과,연도고정효과,지역군집표준오차,FDR_q값,FDR_0.05_유의
단년도_t+2,4-2. 사회적 가치관,합계출산율,log1p_인구1인당_실질예산_전전년도,False,-0.0012865129220216,0.0041207892405949,-0.3122006118022014,0.7589199164787211,-0.0100221958701328,0.0074491700260895,119,17,7,95.0,16.0,True,True,True,,
3개년평균_t+1,1-1. 고용여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0005686876130253232,0.01142057481726717,-0.049795007880470636,0.9609020701646999,-0.02477922468830281,0.023641849462252163,102,17,6,79.0,16.0,True,True,True,0.9921019042593716,False
3개년평균_t+1,1-2. 주거안정성,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.004035539403372538,0.007854657620932895,0.5137766148606792,0.614430297621697,-0.012615590910811717,0.020686669717556793,102,17,6,79.0,16.0,True,True,True,0.9655333248340953,False
3개년평균_t+1,1-3. 경제적 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.007507566847600608,0.011800683926566961,-0.6361976046743164,0.5336435491725802,-0.03252389923796499,0.017508765542763777,102,17,6,79.0,16.0,True,True,True,0.9655333248340953,False
3개년평균_t+1,2-1. 돌봄 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.029459201566781,0.012707909012714515,2.3181785089353792,0.03400669442708838,0.0025196379087059594,0.05639876522485604,102,17,6,79.0,16.0,True,True,True,0.3740736386979722,False
3개년평균_t+1,2-2. 여가 인프라,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-9.167804214953949e-05,0.009117877827616538,-0.010054756587312667,0.9921019042593716,-0.019420715566565817,0.01923735948226674,102,17,6,79.0,16.0,True,True,True,0.9921019042593716,False
3개년평균_t+1,2-3. 가사수행 격차,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.010159758892776555,0.0072462334947034,1.4020744570545212,0.1799955689596112,-0.005201569892039733,0.025521087677592844,102,17,6,79.0,16.0,True,True,True,0.8408569607199841,False
3개년평균_t+1,3-1. 의료서비스 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.00041031934862919076,0.006130686146236235,0.0669287807011773,0.9474676099667383,-0.012586154700639335,0.013406793397897717,102,17,6,79.0,16.0,True,True,True,0.9921019042593716,False
3개년평균_t+1,3-2. 산후조리 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.02476611250605308,0.019891343261416956,1.245069886963927,0.23103365031956108,-0.01740165148245372,0.06693387649455988,102,17,6,79.0,16.0,True,True,True,0.8408569607199841,False
3개년평균_t+1,3-3. 아동안전 수준,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.009158131651273941,0.010306371822867963,0.8885892929802623,0.38738799513857475,-0.012690400591768475,0.031006663894316357,102,17,6,79.0,16.0,True,True,True,0.8522535893048645,False
3개년평균_t+1,4-1. 일·가정 양립 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.009390437934626348,0.008875614042679622,-1.0580043126561298,0.30576616753453967,-0.028205899177545464,0.009425023308292766,102,17,6,79.0,16.0,True,True,True,0.8408569607199841,False
3개년평균_t+1,4-2. 사회적 가치관,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0021431457141374496,0.008686320397310826,-0.24672653276765388,0.8082575451878147,-0.02055732235513034,0.016271030926855442,102,17,6,79.0,16.0,True,True,True,0.9921019042593716,False
3개년평균_t+2,1-1. 고용여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.001333245720832238,0.00784427060585479,-0.16996426918739044,0.8671687323031859,-0.01796235654670933,0.015295865105044854,85,17,5,63.0,16.0,True,True,True,0.8671687323031859,False
3개년평균_t+2,1-2. 주거안정성,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.004028141836260858,0.006888548170973177,0.5847591881892559,0.5668650223923906,-0.010574927935326061,0.018631211607847777,85,17,5,63.0,16.0,True,True,True,0.779439405789537,False
3개년평균_t+2,1-3. 경제적 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0025095439785796647,0.012378270206742701,-0.20273785728256796,0.8418955802183685,-0.028750304585046092,0.023731216627886763,85,17,5,63.0,16.0,True,True,True,0.8671687323031859,False
3개년평균_t+2,2-1. 돌봄 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.04537416240810109,0.007126500003819143,6.36696307918119,9.342455935188527e-06,0.0302666572851046,0.060481667531097585,85,17,5,63.0,16.0,True,True,True,0.0001027670152870738,True
3개년평균_t+2,2-2. 여가 인프라,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.007373646160579367,0.011053240806336528,-0.6671026434484493,0.5142131342315843,-0.030805469919500787,0.016058177598342053,85,17,5,63.0,16.0,True,True,True,0.779439405789537,False
3개년평균_t+2,2-3. 가사수행 격차,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.006316976025913908,0.008562409612600195,0.7377568128273178,0.47134468707005356,-0.011834521485940254,0.02446847353776807,85,17,5,63.0,16.0,True,True,True,0.779439405789537,False
3개년평균_t+2,3-1. 의료서비스 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.0027552840758093868,0.011763597513054336,-0.23422121274990787,0.8177840312677601,-0.027692996781639244,0.02218242863002047,85,17,5,63.0,16.0,True,True,True,0.8671687323031859,False
3개년평균_t+2,3-2. 산후조리 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.030724075420933333,0.01607823595089573,1.9109108433765505,0.07410226723868797,-0.00336026217350021,0.06480841301536688,85,17,5,63.0,16.0,True,True,True,0.4075624698127838,False
3개년평균_t+2,3-3. 아동안전 수준,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,0.010204399511568006,0.008114355150048796,1.2575736855080395,0.22659200796843748,-0.006997264970783717,0.02740606399391973,85,17,5,63.0,16.0,True,True,True,0.6330841012825693,False
3개년평균_t+2,4-1. 일·가정 양립 여건,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.00746481485578325,0.0059844546583980715,-1.2473676018762658,0.23021240046638886,-0.020151291999070644,0.005221662287504144,85,17,5,63.0,16.0,True,True,True,0.6330841012825693,False
3개년평균_t+2,4-2. 사회적 가치관,합계출산율,log1p_인구1인당_실질예산_3개년평균,False,-0.007090064345026542,0.006719322486722871,-1.0551754822061663,0.30701868450429676,-0.021334391691806894,0.00715426300175381,85,17,5,63.0,16.0,True,True,True,0.6754411059094529,False
