region,가족·생활,경제·고용·주거,보건·안전,사회·문화,군집_2개,가족·생활_z,경제·고용·주거_z,보건·안전_z,사회·문화_z,군집_3개
강원,57.76379033601519,53.27223090020137,45.145311158577115,52.96598715171561,2,1.1869009364080834,0.18807010711091124,-0.08499575364194001,0.8972043860336801,3
경기,34.42549242528536,46.176215527962256,42.70283173771968,40.24149933762347,1,-0.697903637040933,-1.285085316480562,-0.4195291380908985,-0.9541588220713149,1
경남,40.71588105110939,51.03626478462973,46.84677980855965,40.57744714759701,1,-0.1898908720965831,-0.27612358996132896,0.14804533614240714,-0.9052797297011175,1
경북,47.695599880872045,53.09264998122555,35.8843344976875,42.82106680186582,2,0.37379230745853953,0.15078853556898025,-1.3534223529467646,-0.5788418453963121,3
광주,58.244643751152985,52.985219161193264,42.823348429073015,49.96047653159053,2,1.2257347330918429,0.12848555468613293,-0.403022609398481,0.45991434615435,3
대구,28.405561004918138,44.64002217353174,46.62011290959509,39.703492589512315,1,-1.1840742359577052,-1.6040039564567317,0.11699997944231068,-1.0324366996344578,1
대전,38.36015130885702,54.891474788980126,59.807837855236585,54.755695818206405,2,-0.3801399729089351,0.5242303029024642,1.9232523562581019,1.157599996983001,2
부산,27.771301134871873,46.12207721471254,58.57379266230279,45.79011318267375,1,-1.2352971618279234,-1.2963246029820998,1.7542317653660056,-0.14685720971631952,1
서울,27.096456426342883,44.79713330147769,52.02493386046476,45.87701955824272,1,-1.2897977255737707,-1.57138718519865,0.8572694898402051,-0.13421267198490988,1
세종,33.111624511108694,59.18217328894283,54.76581694358729,59.287946403529446,2,-0.8040118143819027,1.41499299641976,1.232673633001415,1.8170247303138551,2
울산,29.558656856046397,57.402876135572846,46.05449024287387,31.859963855655337,1,-1.0909500354635286,1.0456052324187985,0.0395296583401289,-2.1736394522902605,1
인천,30.614192779107057,48.15061088911903,42.15029837153896,41.13062099003551,1,-1.0057047899518672,-0.875194542289052,-0.4952066874822962,-0.8247950992358738,1
전남,62.02900296017097,54.82939328634637,33.911749356326546,52.669066303997816,2,1.5313601721026155,0.5113419849504734,-1.623596823125739,0.8540035640268976,3
전북,59.35652610473781,53.67597700291139,50.54777775637826,48.42229566857645,2,1.3155305251067542,0.2718890857574443,0.6549512935681477,0.2361150468189661,3
제주,55.25685931818399,51.767273934048525,36.609255331151914,55.86403038552649,2,0.9844407970353196,-0.12436375903223093,-1.2541338112274338,1.3188583415377344,3
충남,50.36931829451308,60.043054449652445,44.47959235577586,44.44196059165383,2,0.5897222228886009,1.5937146711118086,-0.17617570885082875,-0.34300813872750624,3
충북,51.366918255869635,58.16278377225586,39.07166543641112,49.2222773799937,2,0.6702885511114031,1.2033644814739362,-0.9168706271943429,0.3525092568896075,3
