region,year,pooled_index,missing_indicator_count,indicator_count,has_missing_indicators,pooled_rank,yearly_index,yearly_rank,score_diff_yearly_minus_pooled,abs_score_diff,rank_diff_yearly_minus_pooled,abs_rank_diff
강원,2016,38.41866416520619,0,28,False,7,48.15982350845322,7,9.741159343247034,9.741159343247034,0,0
강원,2017,44.452482427818126,0,28,False,2,55.83149471188891,3,11.379012284070782,11.379012284070782,1,1
강원,2018,45.87434144231297,0,28,False,2,54.77323406166808,3,8.89889261935511,8.89889261935511,1,1
강원,2019,48.576652958041024,0,28,False,2,56.56070673623316,2,7.984053778192134,7.984053778192134,0,0
강원,2020,51.56027830390686,0,28,False,5,56.08222581641533,4,4.5219475125084685,4.5219475125084685,-1,1
강원,2021,54.15490425691612,0,28,False,4,57.54613292637653,4,3.3912286694604106,3.3912286694604106,0,0
강원,2022,58.64855346580149,0,28,False,5,58.61722600508557,2,-0.0313274607159215,0.0313274607159215,-3,3
강원,2023,66.09689916508609,0,28,False,2,60.83342302512104,2,-5.26347613996505,5.26347613996505,0,0
강원,2024,69.8601236106884,0,28,False,1,65.16331567153605,1,-4.69680793915235,4.69680793915235,0,0
경기,2016,31.780101510911063,0,28,False,14,39.722127513841485,13,7.942026002930422,7.942026002930422,-1,1
경기,2017,34.93836833246641,0,28,False,14,41.01403286954903,14,6.075664537082616,6.075664537082616,0,0
경기,2018,35.80105981713267,0,28,False,14,38.849160261921995,14,3.048100444789327,3.048100444789327,0,0
경기,2019,37.89397899076984,0,28,False,15,39.400626061784344,13,1.5066470710145057,1.5066470710145057,-2,2
경기,2020,41.07262222885071,0,28,False,15,39.09402499964837,14,-1.978597229202343,1.978597229202343,-1,1
경기,2021,40.78265413637984,0,28,False,16,36.42311719718797,16,-4.3595369391918695,4.3595369391918695,0,0
경기,2022,44.54057365901361,0,28,False,16,35.225129295831664,15,-9.315444363181946,9.315444363181946,-1,1
경기,2023,49.86573159730146,0,28,False,16,36.37049523531117,15,-13.495236361990294,13.495236361990294,-1,1
경기,2024,51.38877420895508,0,28,False,16,36.3977334999701,16,-14.991040708984976,14.991040708984976,0,0
경남,2016,34.178948065132964,0,28,False,12,39.38942228825681,14,5.210474223123846,5.210474223123846,2,2
경남,2017,37.70931219221372,0,28,False,11,42.19819038235532,13,4.488878190141598,4.488878190141598,2,2
경남,2018,39.466890647956994,0,28,False,11,42.059208785403406,11,2.592318137446412,2.592318137446412,0,0
경남,2019,41.74468940117315,0,28,False,10,42.84204368684757,11,1.0973542856744205,1.0973542856744205,1,1
경남,2020,45.49845217580399,0,28,False,10,43.50327847294552,11,-1.995173702858473,1.995173702858473,1,1
경남,2021,45.721635390640955,0,28,False,11,40.654594958342415,12,-5.0670404322985405,5.0670404322985405,1,1
경남,2022,49.02246346775618,0,28,False,11,39.92360093789628,12,-9.0988625298599,9.0988625298599,1,1
경남,2023,53.18748422258411,0,28,False,12,38.41958688519189,14,-14.76789733739222,14.76789733739222,2,2
경남,2024,55.209304453574475,0,28,False,11,40.713395453054034,13,-14.495909000520442,14.495909000520442,2,2
경북,2016,37.4542052745491,0,28,False,9,45.40033806439321,11,7.946132789844107,7.946132789844107,2,2
경북,2017,39.79046238572148,0,28,False,10,44.273796347868455,11,4.483333962146972,4.483333962146972,1,1
경북,2018,39.854222508775614,0,28,False,10,41.91318927566277,12,2.05896676688716,2.05896676688716,2,2
경북,2019,40.15786677668105,0,28,False,12,39.12198816451576,14,-1.0358786121652912,1.0358786121652912,2,2
경북,2020,44.41933018657134,0,28,False,11,41.91041190699059,12,-2.5089182795807403,2.5089182795807403,1,1
경북,2021,46.65689058557483,0,28,False,10,41.28890731279852,10,-5.367983272776307,5.367983272776307,0,0
경북,2022,51.51769429373564,0,28,False,10,41.74329743466822,10,-9.774396859067416,9.774396859067416,0,0
경북,2023,56.01888263064966,0,28,False,10,40.485956997360795,11,-15.532925633288862,15.532925633288862,1,1
경북,2024,58.18566308488501,0,28,False,10,43.09108581400072,10,-15.094577270884288,15.094577270884288,0,0
광주,2016,39.64917347345754,0,28,False,5,51.56760744468734,4,11.918433971229804,11.918433971229804,-1,1
광주,2017,42.63889644497159,0,28,False,5,52.713704187106586,4,10.074807742134992,10.074807742134992,-1,1
광주,2018,43.90264106622371,0,28,False,8,52.701326515362766,4,8.798685449139057,8.798685449139057,-4,4
광주,2019,46.93444218050114,0,28,False,4,54.20084803609478,4,7.266405855593646,7.266405855593646,0,0
광주,2020,52.337282282954305,0,28,False,2,58.471672298709045,2,6.1343900157547395,6.1343900157547395,0,0
광주,2021,54.53381125351243,0,28,False,2,59.01049678237572,2,4.476685528863285,4.476685528863285,0,0
광주,2022,59.109519822867384,0,28,False,3,58.25331522509301,3,-0.8562045977743722,0.8562045977743722,0,0
광주,2023,62.58616378207707,0,28,False,6,51.53280296240489,8,-11.053360819672186,11.053360819672186,2,2
광주,2024,64.91286831643686,0,28,False,5,53.1656405637513,9,-11.747227752685554,11.747227752685554,4,4
대구,2016,30.95257381359471,0,28,False,15,36.47882848162081,15,5.526254668026095,5.526254668026095,0,0
대구,2017,32.27555010045548,0,28,False,17,33.90082907788242,16,1.6252789774269374,1.6252789774269374,-1,1
대구,2018,31.818855418486308,0,28,False,17,29.63711707115252,17,-2.1817383473337877,2.1817383473337877,0,0
대구,2019,34.4978329792392,0,28,False,17,31.01869522484865,17,-3.4791377543905497,3.4791377543905497,0,0
대구,2020,39.337371066387725,0,28,False,17,34.35754828828188,17,-4.9798227781058415,4.9798227781058415,0,0
대구,2021,40.09583322069492,0,28,False,17,30.999768941198695,17,-9.096064279496224,9.096064279496224,0,0
대구,2022,44.573723595222305,0,28,False,15,32.34962202752151,17,-12.224101567700792,12.224101567700792,2,2
대구,2023,49.951856129379614,0,28,False,15,32.87099648554835,17,-17.08085964383126,17.08085964383126,2,2
대구,2024,50.77927752456953,0,28,False,17,33.35814553248558,17,-17.42113199208395,17.42113199208395,0,0
대전,2016,37.15270795015986,0,28,False,10,47.50973221213597,8,10.357024261976116,10.357024261976116,-2,2
대전,2017,41.106526018472834,0,28,False,9,50.80282375847602,6,9.696297740003187,9.696297740003187,-3,3
대전,2018,43.531837745791904,0,28,False,9,49.53072380757726,9,5.998886061785356,5.998886061785356,0,0
대전,2019,45.897144321816135,0,28,False,9,50.314089583539065,8,4.41694526172293,4.41694526172293,-1,1
대전,2020,50.58167307040211,0,28,False,8,54.275546714796185,6,3.693873644394074,3.693873644394074,-2,2
대전,2021,53.2196757224262,0,28,False,6,56.18072930647904,6,2.961053584052842,2.961053584052842,0,0
대전,2022,59.7069439706091,0,28,False,1,60.56449668492157,1,0.8575527143124688,0.8575527143124688,0,0
대전,2023,66.20172235665768,0,28,False,1,61.847712150604366,1,-4.354010206053317,4.354010206053317,0,0
대전,2024,65.57521999105606,0,28,False,4,57.81413443611976,3,-7.761085554936301,7.761085554936301,-1,1
부산,2016,34.881650454844824,0,28,False,11,43.47692517919192,12,8.595274724347092,8.595274724347092,1,1
부산,2017,36.95927206138899,0,28,False,12,42.20447507804858,12,5.245203016659595,5.245203016659595,0,0
부산,2018,38.390221483452024,0,28,False,12,40.82116932261637,13,2.430947839164346,2.430947839164346,1,1
