지역,연도,지표체계내_실질인구1인당예산_원,예산결측_사업수,log1p_지표체계내_실질인구1인당예산,종합재정대응지수_z,종합재정대응점수_0_100,연도별_종합재정대응순위,예산누락주의
강원,2016,331659.9126427558,1,12.711868378506315,-0.5022838453950066,40.89484566109928,7.0,True
강원,2017,415845.5007999148,0,12.938071482688663,-0.04366047937521104,46.65294050089931,7.0,False
강원,2018,345468.4853737405,0,12.752659598097626,-0.419580265792762,41.93320325520434,9.0,False
강원,2019,557873.8182406225,0,13.231889876124882,0.5520518610161049,54.13221087253661,2.0,False
강원,2020,323314.21640087414,0,12.686383028491745,-0.5539550063639233,40.246105393189005,15.0,False
강원,2021,569904.0579240681,0,13.25322506089174,0.595308624833736,54.67530694434469,6.0,False
강원,2022,599745.5085036576,0,13.304262359098765,0.6987859735680519,55.97448276470082,4.0,False
강원,2023,769231.3801068673,0,13.553148387633518,1.2033986249925548,62.309980952422514,3.0,False
강원,2024,680269.5540682819,0,13.430245871651392,0.9542156362101091,59.181445888179375,3.0,False
경기,2016,243947.6515046121,0,12.404713037475526,-1.1250366449363474,33.07607769768236,13.0,False
경기,2017,277419.8565220445,4,12.533290969768519,-0.8643468355845644,36.34908286321542,13.0,True
경기,2018,368463.60297857487,54,12.817099928951825,-0.28892847146567036,43.5735588900565,8.0,True
경기,2019,426441.04927622934,0,12.963231761596973,0.007351604851642795,47.29340594753207,9.0,False
경기,2020,500440.8711296527,7,13.12324672939336,0.3317795273136156,51.36665403000046,8.0,True
경기,2021,434944.640471434,0,12.98297633782863,0.04738343396702655,47.79601241230409,11.0,False
경기,2022,309339.6437233285,0,12.642198355547256,-0.6435387612179235,39.12136602146571,15.0,False
경기,2023,398415.19434851554,0,12.895252452331603,-0.13047541457710995,45.5629641337073,14.0,False
경기,2024,502196.14397848514,13,13.126748038669309,0.3388783788144223,51.45578132534532,13.0,True
경남,2016,180999.93516569235,0,12.1062574768959,-1.7301507714428153,25.478766292539955,16.0,False
경남,2017,284312.5322991917,3,12.557832895166852,-0.8145884537291281,36.973807862042065,12.0,True
경남,2018,320305.6189609651,0,12.677034000263426,-0.5729100194287731,40.00812196058662,14.0,False
경남,2019,515680.30173760396,0,13.153244221358838,0.3925989877144285,52.13025276273102,3.0,False
경남,2020,559018.8361829007,4,13.233940236629122,0.5562089358688475,54.18440365866955,5.0,True
경남,2021,622851.3674251235,0,13.3420647992625,0.7754298481705798,56.93675972560046,4.0,False
경남,2022,472037.7844489604,0,13.064816431634599,0.21331298401604956,49.87928630695859,12.0,False
경남,2023,580443.1392051029,0,13.271548846730287,0.632459822956666,55.14174659407418,6.0,False
경남,2024,567983.3229049863,0,13.249849096802997,0.5884639088006032,54.589370363284026,9.0,False
경북,2016,282229.1778695981,1,12.550478250562914,-0.8294998842169173,36.78659230063068,10.0,True
경북,2017,343534.7668951498,0,12.747046510100633,-0.43096071665019625,41.79031974727168,9.0,False
경북,2018,532706.9752887955,0,13.185728664238102,0.45846070340757894,52.95715787348533,3.0,False
경북,2019,389742.8661870951,0,12.873245048982444,-0.1750950913840659,45.002756456097195,12.0,False
경북,2020,417051.7308980714,0,12.94096794577941,-0.037787944349523775,46.72667118305233,11.0,False
경북,2021,504867.9757848411,0,13.13205422070211,0.34963658248007556,51.59085241330651,8.0,False
경북,2022,543018.9577714707,3,13.20490135288423,0.49733303910925164,53.445206700036195,9.0,True
경북,2023,474237.18815389654,0,13.069464981116816,0.22273784765065982,49.99761708266949,12.0,False
경북,2024,663301.182278153,0,13.404985945540126,0.9030015187892386,58.53844388022389,4.0,False
광주,2016,297129.93931134883,0,12.60192819373103,-0.7251859040768965,38.0962721714494,9.0,False
광주,2017,289545.8309565782,3,12.57607232787492,-0.7776082803000207,37.43810026747494,11.0,True
광주,2018,335625.39139327605,0,12.723753889914963,-0.47818615111797863,41.19739633633384,11.0,False
광주,2019,481286.47664567694,0,13.084220035101602,0.2526534960179391,50.373213167072805,4.0,False
광주,2020,87018.7961673885,0,11.373890913906822,-3.2150128801769116,6.836068428455684,17.0,False
광주,2021,187827.9625221878,0,12.143287053898561,-1.6550738651879853,26.42136969769534,16.0,False
광주,2022,200954.83592786998,6,12.210840441146962,-1.5181103961945392,28.14096948803449,17.0,True
광주,2023,215030.34919590355,0,12.278539106694028,-1.3808523776519854,29.86426739836586,17.0,False
광주,2024,246588.735478429,0,12.415481244671007,-1.1032042680207372,33.35018692580423,17.0,False
대구,2016,66524.47931864567,2,11.105340300910436,-3.759495178615206,0.0,17.0,True
대구,2017,127787.81953351013,0,11.758134333010275,-2.4359651704773877,16.617145734022433,17.0,False
대구,2018,295603.3321999133,0,12.596777123564195,-0.7356296207847534,37.965149521058215,16.0,False
대구,2019,396145.8872492235,0,12.889540348857086,-0.1420566178148184,45.417560145287645,11.0,False
대구,2020,390063.39045792934,0,12.874067108215987,-0.17342837874491682,45.023682318488824,13.0,False
대구,2021,423636.1846764405,0,12.956632671379015,-0.006027950567667758,47.1254233397392,12.0,False
대구,2022,521074.01395057695,0,13.163649291082557,0.41369510890875016,52.395118174284384,10.0,False
대구,2023,548440.0960753051,0,13.214835162001352,0.5174736865648232,53.69807597529932,9.0,False
대구,2024,551892.0270482381,0,13.22110951489994,0.5301948419899354,53.85779225849991,10.0,False
대전,2016,395349.5746843979,0,12.887528181107218,-0.14613625743681483,45.36633957172741,4.0,False
대전,2017,452355.7234711044,3,13.02222635877021,0.1269622566610947,48.79513814872,5.0,True
대전,2018,441149.48828182416,2,12.997141339488183,0.07610276018610063,48.15658846742258,4.0,True
대전,2019,185659.50542419183,0,12.131675045260849,-1.6786170367413937,26.12578115014551,16.0,False
대전,2020,535518.1928940801,0,13.190992009299709,0.4691320557632567,53.0911385283878,7.0,False
대전,2021,563932.3311933363,0,13.242691316389172,0.5739516174751362,54.40716606235612,7.0,False
대전,2022,585214.3133390592,0,13.27973511548748,0.6490573588133796,55.350131496917996,5.0,False
대전,2023,329178.7961889736,0,12.704359373450208,-0.5175082393605087,40.703700789671046,16.0,False
대전,2024,619357.0263702987,0,13.33643877924333,0.7640231778341444,56.79354702762228,7.0,False
부산,2016,275223.67356826423,1,12.525343037883815,-0.8804611470438832,36.14676492537004,12.0,True
부산,2017,823047.7775990649,6,13.620770745945531,1.34050193177234,64.03133643009812,2.0,True
부산,2018,390422.00966587826,1,12.874986070477593,-0.17156519668476647,45.04707488808087,7.0,True
부산,2019,385871.1113672952,0,12.863261275847824,-0.19533704012799705,44.74861532582409,13.0,False
부산,2020,612513.9775612487,0,13.325328674263268,0.7414976083411545,56.510734648072614,3.0,False
부산,2021,449829.6981562987,0,13.016626564636288,0.11560875890959321,48.65259304164453,9.0,False
부산,2022,629735.752175317,0,13.353057157352563,0.7977166876283416,57.216574808706476,3.0,False
부산,2023,590529.0610029193,0,13.28877582103408,0.6673872523131297,55.580266446410384,5.0,False
부산,2024,529446.843474465,0,13.179589937707355,0.4460145283880862,52.80089401633179,12.0,False
서울,2016,278599.2823995133,1,12.537533353965209,-0.8557454659116409,36.45707453132144,11.0,True
서울,2017,331061.87663643865,2,12.710063595945858,-0.5059430146880305,40.848904164469985,10.0,True
서울,2018,437352.93684675725,0,12.98849807040062,0.05857866308459871,47.9365704295977,5.0,False
서울,2019,397675.2233290018,0,12.893393443964763,-0.13424452587087674,45.51564229644545,10.0,False
서울,2020,404552.97094733553,1,12.910540432902398,-0.09947926563226092,45.95212608775677,12.0,True
서울,2021,449643.79538572044,0,13.016213206463531,0.11477068147804351,48.642070836079995,10.0,False
