지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,CPI_지수,CPI_기준연도,당해계획예산_실질_백만원_provisional,전년대비_실질증감률_pct_provisional,전체인구_명,인구1인당_실질예산_원,log1p_인구1인당_실질예산,세부영역_재정대응지수_z,세부영역_재정대응점수_0_100
강원,2016,1-1. 고용여건,2743.0,2,0,83.786765,2024,3273.7867370819245,,1550806,2111.022743709996,7.65540141357025,-0.6083914330872594,68.52863421951697
강원,2017,1-1. 고용여건,7783.0,7,0,85.339636,2024,9120.029525319278,178.5773863036777,1550142,5883.351025466879,8.680051737567117,-0.02289610733460889,77.70096672864183
강원,2018,1-1. 고용여건,0.0,0,0,86.797969,2024,0.0,-100.0,1543052,0.0,0.0,-4.9827634890310195,0.0
강원,2019,1-1. 고용여건,61357.0,23,0,87.068452,2024,70469.84136113962,inf,1541502,45715.05023096929,10.730204723778135,1.1485815786550353,96.05326159812574
강원,2020,1-1. 고용여건,20929.0,43,0,87.535014,2024,23909.289601530196,-66.07160007782436,1542840,15496.93396692476,9.648462001566642,0.5304630920954064,86.36985672811466
강원,2021,1-1. 고용여건,46059.0,38,0,89.802171,2024,51289.40590979699,114.51664505546191,1538492,33337.4537597836,10.41446677729839,0.9681657943652952,93.2268794040873
강원,2022,1-1. 고용여건,50241.100000000006,43,0,94.590336,2024,53114.411180440264,3.5582499704771786,1536498,34568.48702727909,10.450726694138497,0.9888850693461008,93.55146624724891
강원,2023,1-1. 고용여건,31036.0,42,0,97.706583,2024,31764.492265582554,-40.196094506870786,1527807,20790.90635504521,9.942319072417629,0.6983759277167262,89.0003685240695
강원,2024,1-1. 고용여건,20222.0,30,0,100.0,2024,20222.0,-36.33772002107229,1517766,13323.529450521359,9.497361935128817,0.4441230202207673,85.01725865727971
강원,2016,1-2. 주거안정성,0.0,0,0,83.786765,2024,0.0,,1550806,0.0,0.0,-2.1430285928748103,0.0
강원,2017,1-2. 주거안정성,15785.0,4,0,85.339636,2024,18496.68072172232,inf,1550142,11932.249253115082,9.387083837867515,0.7093040873850387,75.83736906231469
강원,2018,1-2. 주거안정성,46690.0,1,0,86.797969,2024,53791.58122927969,190.8174825448946,1543052,34860.51100629123,10.45913866312292,1.0350556270454019,84.49839935054517
강원,2019,1-2. 주거안정성,89476.0,3,0,87.068452,2024,102765.1209418539,91.04313090152675,1541502,66665.57743152711,11.107459018334074,1.2320524120306038,89.73611863567821
강원,2020,1-2. 주거안정성,77441.0,4,0,87.535014,2024,88468.598405662,-13.911843245220423,1542840,57341.395352507054,10.956795513111516,1.1862722265021415,88.51892232134544
강원,2021,1-2. 주거안정성,83873.0,3,0,89.802171,2024,93397.51930941624,5.57137898935991,1538492,60707.18554884669,11.013833820490346,1.2036037248645022,88.97972945187605
강원,2022,1-2. 주거안정성,75602.0,3,0,94.590336,2024,79925.71249561901,-14.424159135497527,1536498,52018.10382806812,10.859366311404578,1.1566676655074613,87.73180094745408
강원,2023,1-2. 주거안정성,87261.0,4,0,97.706583,2024,89309.23313529447,11.740302772014456,1527807,58455.83449695837,10.976043889011665,1.1921209834292334,88.67442814319622
강원,2024,1-2. 주거안정성,24651.0,4,0,100.0,2024,24651.0,-72.39815063392581,1517766,16241.634085886757,9.69539479796991,0.8029865815835918,78.32818436460495
강원,2016,1-3. 경제적 여건,5129.0,23,1,83.786765,2024,6121.49186091622,,1550806,3947.296993251393,8.281039623978172,-1.69484437563809,45.12121501293637
강원,2017,1-3. 경제적 여건,6634.0,26,0,85.339636,2024,7773.6445934688545,26.989380531584217,1550142,5014.7951564881505,8.520347243458158,-1.522069580003651,48.121467788499224
강원,2018,1-3. 경제적 여건,44018.0,7,0,86.797969,2024,50713.16818484544,552.3731253092388,1543052,32865.49525540645,10.400209036556273,-0.16485104333820685,71.68971260524606
강원,2019,1-3. 경제적 여건,100762.0,40,0,87.068452,2024,115727.33600454962,128.1997756139643,1541502,75074.3988684735,11.226248205770798,0.4315309229243323,82.04594913271185
강원,2020,1-3. 경제적 여건,67066.0,46,0,87.535014,2024,76616.19840490344,-33.7959370274527,1542840,49659.19888316575,10.81295906395075,0.13314532546171792,76.8644513703337
강원,2021,1-3. 경제적 여건,198710.0,44,0,89.802171,2024,221275.27406881953,188.81004105609333,1538492,143826.080388341,11.876367026346792,0.9009022977564406,90.19663317744579
강원,2022,1-3. 경제적 여건,232578.6,51,0,94.590336,2024,245879.87508575933,11.119453414070769,1536498,160026.16019399918,11.983098831022351,0.9779602944077215,91.53475351776143
강원,2023,1-3. 경제적 여건,450919.0,51,0,97.706583,2024,461503.1926763829,87.69457749049909,1527807,302069.039267645,12.618414187572945,1.4366438964174346,99.4998432461645
강원,2024,1-3. 경제적 여건,477130.0,51,0,100.0,2024,477130.0,3.386067002698945,1517766,314363.3471826355,12.65830793356065,1.465446296546171,100.00000000000001
강원,2016,2-1. 돌봄 여건,408734.0,51,0,83.786765,2024,487826.4484850322,,1550806,314563.1681106677,12.658943366459292,0.1114040047945294,50.1262629557817
강원,2017,2-1. 돌봄 여건,499768.0,67,0,85.339636,2024,585622.37129767,20.047277698113252,1550142,377786.2746107582,12.842086550609736,0.4188792454119537,54.01084137611349
강원,2018,2-1. 돌봄 여건,366170.0,31,0,86.797969,2024,421864.70976066275,-27.96301329372708,1543052,273396.30146013404,12.518681332923839,-0.1240789737878232,47.151219842978215
강원,2019,2-1. 돌봄 여건,479244.0,115,0,87.068452,2024,550422.0977765862,30.473605646904687,1541502,357068.68870529276,12.785686248168878,0.32418996366585845,52.81455662886364
강원,2020,2-1. 돌봄 여건,257993.0,110,0,87.535014,2024,294731.2032188628,-46.45360271518516,1542840,191031.606141183,12.16019940524006,-0.7259267437874077,39.54759993859003
강원,2021,2-1. 돌봄 여건,443846.0,118,0,89.802171,2024,494248.6301361244,67.6947078348888,1538492,321255.2487345559,12.679994366316185,0.14674608578029283,50.57276747709285
강원,2022,2-1. 돌봄 여건,436128.4,135,0,94.590336,2024,461070.7800001895,-6.7127854510789735,1536498,300078.9978250473,12.611804377507859,0.032263347512968825,49.1264163052693
강원,2023,2-1. 돌봄 여건,531831.0,146,0,97.706583,2024,544314.3989591777,18.054412157489995,1527807,356271.7011763774,12.783451731135157,0.3204384800068078,52.76716116236393
강원,2024,2-1. 돌봄 여건,458138.0,136,0,100.0,2024,458138.0,-15.832099816569556,1517766,301850.2193355234,12.617689523757653,0.042143795795104265,49.251243839684484
강원,2016,2-2. 여가 인프라,3382.0,13,0,83.786765,2024,4036.437019617597,,1550806,2602.7994601630357,7.864726988136689,-0.04510714397201428,69.29629230385733
강원,2017,2-2. 여가 인프라,5189.0,13,0,85.339636,2024,6080.410279696998,50.63805653712499,1550142,3922.4859914104636,8.27473582112926,0.2305010203460262,72.90888966179158
강원,2018,2-2. 여가 인프라,0.0,0,0,86.797969,2024,0.0,-100.0,1543052,0.0,0.0,-5.331780975465243,0.0
강원,2019,2-2. 여가 인프라,2155.0,26,0,87.068452,2024,2475.064102437471,inf,1541502,1605.6184827768443,7.38188692795391,-0.36967249949107217,65.04197731022714
강원,2020,2-2. 여가 인프라,986.0,30,0,87.535014,2024,1126.40640007209,-54.48980901291436,1542840,730.0863343393289,6.5945315572073655,-0.8989332152018896,58.10457083692361
강원,2021,2-2. 여가 인프라,1142.0,18,0,89.802171,2024,1271.6841778802875,12.897456708244892,1538492,826.5783493708693,6.718503784788336,-0.815599015251547,59.196893015807845
강원,2022,2-2. 여가 인프라,1352.0,23,0,94.590336,2024,1429.321490093872,12.395948220126707,1536498,930.2462418394764,6.83652373407701,-0.7362659400615567,60.236769532301146
강원,2023,2-2. 여가 인프라,19811.0,30,0,97.706583,2024,20276.013541482665,1318.5761343412685,1527807,13271.318655748184,9.493435841207445,1.0497118479190828,83.64688386673254
강원,2024,2-2. 여가 인프라,19210.0,30,0,100.0,2024,19210.0,-5.2575105027509945,1517766,12656.760001212308,9.44602574490999,1.0178427549648836,83.22915240623327
강원,2016,2-3. 가사수행 격차,0.0,0,0,83.786765,2024,0.0,,1550806,0.0,0.0,-0.931640529002546,0.0
강원,2017,2-3. 가사수행 격차,0.0,0,0,85.339636,2024,0.0,,1550142,0.0,0.0,-0.931640529002546,0.0
강원,2018,2-3. 가사수행 격차,0.0,0,0,86.797969,2024,0.0,,1543052,0.0,0.0,-0.931640529002546,0.0
강원,2019,2-3. 가사수행 격차,0.0,0,0,87.068452,2024,0.0,,1541502,0.0,0.0,-0.931640529002546,0.0
강원,2020,2-3. 가사수행 격차,0.0,0,0,87.535014,2024,0.0,,1542840,0.0,0.0,-0.931640529002546,0.0
강원,2021,2-3. 가사수행 격차,0.0,0,0,89.802171,2024,0.0,,1538492,0.0,0.0,-0.931640529002546,0.0
강원,2022,2-3. 가사수행 격차,0.0,0,0,94.590336,2024,0.0,,1536498,0.0,0.0,-0.931640529002546,0.0
강원,2023,2-3. 가사수행 격차,0.0,0,0,97.706583,2024,0.0,,1527807,0.0,0.0,-0.931640529002546,0.0
강원,2024,2-3. 가사수행 격차,3.0,1,0,100.0,2024,3.0,inf,1517766,1.9765892766078565,1.0907781069823845,-0.2516432048359809,16.56526404248559
강원,2016,3-1. 의료서비스 여건,6394.0,28,0,83.786765,2024,7631.27684903457,,1550806,4920.845579030884,8.501438856836508,-0.30702045321567334,37.35592349686346
강원,2017,3-1. 의료서비스 여건,7353.0,30,0,85.339636,2024,8616.160490771252,12.90588274046538,1550142,5558.304007485283,8.623228200899304,-0.19028356609733335,39.25687610546871
강원,2018,3-1. 의료서비스 여건,4051.0,8,0,86.797969,2024,4667.159896333519,-45.832486507969506,1543052,3024.629044473886,8.01487429743304,-0.7733997779748308,29.761366061888033
강원,2019,3-1. 의료서비스 여건,7667.0,34,0,87.068452,2024,8805.715300876143,88.67395796303954,1541502,5712.425479095157,8.650574031549954,-0.16407218307045449,39.683704318641695
강원,2020,3-1. 의료서비스 여건,7746.0,39,0,87.535014,2024,8849.030400566338,0.49189757118182076,1542840,5735.546395327019,8.654612634947627,-0.16020112199710823,39.746740980206845
강원,2021,3-1. 의료서비스 여건,9154.0,33,0,89.802171,2024,10193.517481888048,15.193609022245669,1538492,6625.655175254761,8.798855457424468,-0.02194224381128246,41.99815937620834
강원,2022,3-1. 의료서비스 여건,66331.1,41,0,94.590336,2024,70124.60554109885,587.9333425944186,1536498,45639.24296751369,10.728545127526997,1.827693838275148,72.11777813602882
