지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의
울산,2017,2222729.4,154,154,0,0,1.261,6,0,0,6,0,,
울산,2018,948045.0,189,189,0,0,1.131,6,0,0,6,0,,
울산,2019,356752.0,160,160,0,0,1.084,6,4,1,1,0,0.01,
울산,2020,1240133.6,194,194,0,0,0.984,6,4,2,0,2,25.6,
울산,2021,977844.0,249,249,0,0,0.94,8,8,0,0,0,0.0,
울산,2022,938106.0,254,254,0,0,0.848,8,8,0,0,0,0.0,
울산,2023,3219772.0,274,274,0,0,0.814,8,8,0,0,0,0.0,
울산,2024,1273043.0,302,302,0,0,0.859,8,8,0,0,0,0.0,
인천,2016,1094772.2,132,132,0,0,1.144,5,4,1,0,0,2.42,
인천,2017,1161639.0,119,119,0,0,1.007,5,0,0,5,0,,
인천,2018,1453723.0,217,214,3,0,1.006,5,0,0,5,0,,
인천,2019,2137311.0,252,252,0,0,0.94,6,4,1,1,0,0.0,
인천,2020,2761790.0,305,305,0,0,0.829,6,4,2,0,0,0.0,
인천,2021,3305518.2,367,367,0,0,0.778,8,6,2,0,0,0.03,
인천,2022,4451688.0,377,371,6,0,0.747,8,8,0,0,0,0.0,
인천,2023,4389696.0,336,336,0,0,0.694,8,8,0,0,0,0.0,
인천,2024,4721370.0,328,328,0,0,0.762,8,8,0,0,0,0.0,
전남,2016,1883685.9999999998,446,436,10,0,1.466,5,1,4,0,0,6.39,
전남,2017,1392937.0,451,447,4,0,1.325,5,0,0,5,0,,
전남,2018,1647546.0,399,396,3,0,1.24,5,0,1,4,1,23.45,원자료에 자체사업 일부 세부내역이 없어 세부사업 합계가 과소대표될 수 있음
전남,2019,1540331.0,487,487,0,0,1.234,6,3,2,1,0,0.07,
전남,2020,1840688.0,499,499,0,0,1.145,6,5,1,0,0,1.54,
전남,2021,1966392.42,524,524,0,0,1.017,8,8,0,0,0,0.0,
전남,2022,2258897.4,552,547,5,0,0.969,7,6,1,0,0,0.0,
전남,2023,2712169.0,628,628,0,0,0.972,8,6,2,0,0,0.02,
전남,2024,2621833.0,468,466,2,0,1.028,8,5,3,0,0,0.19,
전북,2016,1401390.0,280,266,14,0,1.251,5,5,0,0,0,0.0,
전북,2017,1500137.7,318,318,0,0,1.151,5,0,0,5,0,,
전북,2018,1629235.5,380,365,15,0,1.044,6,0,0,6,0,,
전북,2019,1908798.0,373,373,0,0,0.971,5,4,1,0,0,0.0,
전북,2020,2018401.0,410,410,0,0,0.909,5,3,2,0,0,0.16,
전북,2021,2200038.999,473,473,0,0,0.85,8,7,1,0,0,0.0,
전북,2022,2540795.1,498,498,0,0,0.817,8,8,0,0,0,0.0,
전북,2023,2695319.0,403,403,0,0,0.78,8,6,2,0,0,0.01,
전북,2024,2862745.0,419,419,0,0,0.808,8,5,3,0,0,0.01,
제주,2016,542630.0,130,117,13,0,1.432,6,5,1,0,0,0.0,
제주,2017,542097.0,134,120,14,0,1.305,6,0,0,6,0,,
제주,2018,2211904.0,129,119,10,0,1.22,6,0,0,6,0,,
제주,2019,689085.0,135,135,0,0,1.145,6,5,1,0,0,0.0,
