연도,지역,대분류,중분류,구분,세부사업명,당해예산,전년도예산,증감액,증감율,출생환경_대영역,출생환경_세부영역
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,청년고용창출 장려금 지원,54.0,216.0,-162.0,-75.0,1. 경제·고용·주거,1-1. 고용여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,결혼장려금 지원,390.0,0.0,390.0,,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,중･고등학교 신입생 교복 구입비 지원,280.0,0.0,280.0,,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,인재육성 학력신장 프로그램 운영,250.0,99.0,151.0,152.5,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,인재육성을 위한 교육시책 및 장학금 지원,400.0,400.0,0.0,0.0,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,글로벌 문화체험 지원,555.0,555.0,0.0,0.0,2. 가족·생활,2-2. 여가 인프라
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,장성군 신생아 양육비 지원,824.0,731.0,93.0,12.7,1. 경제·고용·주거,1-3. 경제적 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,출산축하용품 택배지원 사업,80.0,54.0,26.0,48.1,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,산모･신생아 건강관리 지원,17.0,17.0,0.0,0.0,3. 보건·안전,3-2. 산후조리 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,모유수유클리닉 운영,0.0,0.0,0.0,,2. 가족·생활,2-1. 돌봄 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,임산부 영･유아 건강관리,20.0,20.0,0.0,0.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,임산부 건강교실 등 프로그램 운영,3.0,3.0,0.0,0.0,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,찾아가는 산부인과 운영,0.0,0.0,0.0,,3. 보건·안전,3-1. 의료서비스 여건
2019,전남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),자체,힘을내요 가족탄생 캠페인,0.0,0.0,0.0,,4. 사회·문화,4-2. 사회적 가치관
