지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의,전년도_합계출산율,전전년도_합계출산율,직전1년_출산율하락도
대전,2019,685088.0,192,192,0,0,0.883,6,2,4,0,0,0.23,,0.952,1.075,0.123
대전,2020,1247751.0,299,299,0,0,0.805,6,2,4,0,0,0.04,,0.883,0.952,0.06899999999999995
대전,2021,1337995.0,294,294,0,0,0.81,8,4,4,0,0,0.02,,0.805,0.883,0.07799999999999996
대전,2022,1500606.3,322,322,0,0,0.842,8,7,1,0,0,0.0,,0.81,0.805,-0.0050000000000000044
대전,2023,1222344.0,235,235,0,0,0.787,8,7,1,0,0,0.0,,0.842,0.81,-0.03199999999999992
대전,2024,1676350.0,162,162,0,0,0.792,8,8,0,0,0,0.0,,0.787,0.842,0.05499999999999994
부산,2016,1757736.53,552,551,1,0,1.095,6,2,4,0,0,1.59,,,,
부산,2017,3477747.6,513,507,6,0,0.976,6,0,0,6,0,,,1.095,,
부산,2018,2341626.0,570,569,1,0,0.899,6,0,0,6,0,,,0.976,1.095,0.119
부산,2019,2525413.0,556,556,0,0,0.827,6,4,2,0,0,0.08,,0.899,0.976,0.07699999999999996
부산,2020,3494318.0,545,545,0,0,0.747,6,4,2,0,0,0.0,,0.827,0.899,0.07200000000000006
부산,2021,3944822.1,685,685,0,0,0.728,8,7,1,0,0,0.0,,0.747,0.827,0.07999999999999996
부산,2022,5106355.100000001,748,748,0,0,0.723,8,4,4,0,0,0.0,,0.728,0.747,0.019000000000000017
부산,2023,4317819.0,722,722,0,0,0.664,8,4,4,0,0,0.0,,0.723,0.728,0.0050000000000000044
부산,2024,4796613.0,683,683,0,0,0.683,8,6,2,0,0,0.0,,0.664,0.723,0.05899999999999994
서울,2016,4173074.0,103,102,1,0,0.94,5,4,1,0,0,0.0,,,,
서울,2017,4761473.0,128,124,4,0,0.836,5,0,0,5,0,,,0.94,,
서울,2018,5912413.0,184,184,0,0,0.761,5,0,0,5,0,,,0.836,0.94,0.10399999999999998
서울,2019,5907309.0,162,162,0,0,0.717,6,5,0,1,0,0.0,,0.761,0.836,0.07499999999999996
서울,2020,6677517.0,177,176,1,0,0.642,6,5,1,0,0,0.0,,0.717,0.761,0.04400000000000004
서울,2021,7529092.0,228,228,0,0,0.626,8,7,1,0,0,0.0,,0.642,0.717,0.07499999999999996
서울,2022,7957659.899999999,227,227,0,0,0.593,8,8,0,0,0,0.0,,0.626,0.642,0.016000000000000014
서울,2023,8314712.0,230,230,0,0,0.552,8,6,2,0,0,0.01,,0.593,0.626,0.03300000000000003
서울,2024,4872683.0,237,237,0,0,0.581,8,8,0,0,0,0.0,,0.552,0.593,0.040999999999999925
세종,2016,97707.0,114,114,0,0,1.821,5,5,0,0,0,0.0,,,,
세종,2017,89445.0,102,102,0,0,1.668,5,0,0,5,0,,,1.821,,
세종,2018,104743.0,93,90,3,0,1.566,5,0,0,5,0,,,1.668,1.821,0.15300000000000002
세종,2019,129545.0,100,100,0,0,1.472,6,5,1,0,0,0.0,,1.566,1.668,0.10199999999999987
세종,2020,209363.0,107,107,0,0,1.277,6,4,2,0,0,0.09,,1.472,1.566,0.09400000000000008
세종,2021,175466.0,93,93,0,0,1.277,8,7,1,0,0,0.0,,1.277,1.472,0.19500000000000006
세종,2022,231310.40000000002,108,108,0,0,1.121,8,8,0,0,0,0.0,,1.277,1.277,0.0
세종,2023,318453.0,112,112,0,0,0.971,8,8,0,0,0,0.0,,1.121,1.277,0.15599999999999992
세종,2024,329034.0,120,120,0,0,1.028,8,8,0,0,0,0.0,,0.971,1.121,0.15000000000000002
울산,2016,577145.0,155,155,0,0,1.418,6,4,2,0,1,262.31,,,,
울산,2017,2222729.4,154,154,0,0,1.261,6,0,0,6,0,,,1.418,,
울산,2018,948045.0,189,189,0,0,1.131,6,0,0,6,0,,,1.261,1.418,0.15700000000000003
울산,2019,356752.0,160,160,0,0,1.084,6,4,1,1,0,0.01,,1.131,1.261,0.1299999999999999
울산,2020,1240133.6,194,194,0,0,0.984,6,4,2,0,2,25.6,,1.084,1.131,0.04699999999999993
울산,2021,977844.0,249,249,0,0,0.94,8,8,0,0,0,0.0,,0.984,1.084,0.10000000000000009
